index,start_val,middle,change
Total Performance  Since 27/12/2010,238.00,"1,611.66",+577.17%
Year to Date Performance,"1,550.74","1,611.66",+3.93%
12 Month Performance,"1,619.30","1,611.66",-0.47%
6 Month Performance,"1,553.88","1,611.66",+3.72%
3 Month Performance,"1,571.40","1,611.66",+2.56%
1 Month Performance,"1,574.15","1,611.66",+2.38%
