index,start_val,middle,change
Total Performance  Since 27/12/2010,191.00,"1,305.61",+583.57%
Year to Date Performance,"1,259.00","1,305.61",+3.70%
12 Month Performance,"1,292.19","1,305.61",+1.04%
6 Month Performance,"1,278.19","1,305.61",+2.15%
3 Month Performance,"1,291.44","1,305.61",+1.10%
1 Month Performance,"1,309.09","1,305.61",-0.27%
