index,start_val,middle,change
Total Performance  Since 27/12/2010,138.00,945.50,+585.14%
Year to Date Performance,898.86,945.50,+5.19%
12 Month Performance,844.65,945.50,+11.94%
6 Month Performance,931.49,945.50,+1.50%
3 Month Performance,936.24,945.50,+0.99%
1 Month Performance,945.76,945.50,-0.03%
